 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
8,55552E+12;SE ;PROPRIA ;CENTRO ;TV DOM JUVENCIO DE BRITTO (TV DONA MENININHA), N. 103 ;17.285,40;40.500,00;57.32;Casa, 65.98 de área total, 65.98 de área privativa, 70.48 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555518692429
10008163;SE ;PROPRIA ;CENTRO ;RUA MANOEL CANDIDO, N. S/N ;46.864,00;80.000,00;41.42;Terreno, 0.00 de área total, 0.00 de área privativa, 276.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10008163
1,44441E+12;SE ;PROPRIA ;CENTRO ;RUA DA LINHA, N. 1145 ;167.000,00;167.000,00;0.00;Casa, 0.00 de área total, 89.60 de área privativa, 61.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406139302
8,4444E+12;SE ;PROPRIA ;MATADOURO ;RUA DOUTOR JESSÉ FERREIRA TRINDADE, N. 452 ;83.110,00;83.110,00;0.00;Casa, 0.00 de área total, 63.45 de área privativa, 70.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403435880
1,4444E+12;SE ;PROPRIA ;CENTRO ;RUA 24 DE OUTUBRO, N. 216 ;107.681,37;92.000,00;0.00;Casa, 0.00 de área total, 126.06 de área privativa, 126.06 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400467960
8,55553E+12;SE ;SAO CRISTOVAO ;JABOTIANA ;ESTRADA DA CABRITA, N. SN, Apto 301, BL VII ;105.000,00;175.000,00;40.00;Apartamento, 0.00 de área total, 60.14 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531394800
1,4444E+12;SE ;SIMAO DIAS ;CENTRO ;RUA  MONSENHOR JOAO BATISTA DE SOUZA, N. 90 ;73.384,50;145.000,00;49.39;Casa, 0.00 de área total, 103.75 de área privativa, 181.20 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404979141
1,44441E+12;SE ;TOBIAS BARRETO ;CENTRO ;RUA JOAO BATISTA DE ARAUJO, N. 112 ;136.647,00;270.000,00;49.39;Casa, 0.00 de área total, 112.80 de área privativa, 120.00 de área do terreno, WC, 3 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408075212
1,44441E+12;SE ;TOBIAS BARRETO ;CENTRO ;Rua 23 Quadra 18 Lote 930 (atual 23) s/n, N. 23 ;28.101,30;47.000,00;40.21;Terreno, 0.00 de área total, 0.00 de área privativa, 180.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406202837
8,44441E+12;SE ;TOBIAS BARRETO ;SANTOS DUMONT ;RUA FERNANDO ANTONIO DOS SANTOS, N. 1638, QD 01, LT 10 ;120.000,00;120.000,00;0.00;Casa, 0.00 de área total, 53.28 de área privativa, 140.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408001284
1,55553E+12;SE ;TOMAR DO GERU ;CENTRO ;RUA 08 DE SETEMBRO, N. 213 ;144.404,00;260.000,00;44.46;Casa, 0.00 de área total, 414.14 de área privativa, 206.04 de área do terreno,  3 qto(s), varanda, a.serv, WC, 4 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555533704671
8,4444E+12;SE ;TOMAR DO GERU ;CENTRO ;RUA ALFEU MOREIRA GUIMARAES (ANT RUA C), N. 87, LT 30, QD C, LOT RES PORTO SEGURO ;83.000,00;83.000,00;0.00;Casa, 0.00 de área total, 70.00 de área privativa, 102.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402594011
