 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
8,4444E+12;SE ;CAMPO DO BRITO ;CENTRO ;RUA LEONILDO CUPERTINO DOS SANTOS, N. 52 ;55.536,60;98.000,00;43.33;Casa, 100.33 de área total, 100.33 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 3 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401537596
8,4444E+12;SE ;CAPELA ;SAO JOSE ;RUA FREI DAMIAO, N. 43, QD A, LT 02 ;33.144,00;80.000,00;58.57;Casa, 0.00 de área total, 69.94 de área privativa, 161.85 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402694040
8,4444E+12;SE ;CAPELA ;CENTRO ;Rua Frei Damião  Quadra A Lote 05, N. 658, Bairro São José, Atual nº 658 ;35.215,50;85.000,00;58.57;Casa, 69.94 de área total, 69.94 de área privativa, 172.25 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402861761
8,4444E+12;SE ;CAPELA ;BAIRRO SÃO JOSÉ ;RUA FREI DAMIAO (ANTIGA RUA PROJETADA A), N. 125, LT 14, QD A ;25.479,45;61.500,00;58.57;Casa, 0.00 de área total, 51.18 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403067589
8,4444E+12;SE ;CAPELA ;CENTRO ;RUA PROJETADA D, N. 67, QD C, LT 06 ;34.179,75;82.500,00;58.57;Casa, 0.00 de área total, 69.95 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403281084
8,4444E+12;SE ;CAPELA ;CENTRO ;RUA PROJETADA, N. S/N, QD C LT 05 ;28.793,85;69.500,00;58.57;Casa, 0.00 de área total, 69.96 de área privativa, 84.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403678235
8,4444E+12;SE ;CAPELA ;CENTRO ;RUA PROJETADA A Quadra A, N. 137, QD A ;26.929,50;65.000,00;58.57;Casa, 60.00 de área total, 60.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403690952
8,4444E+12;SE ;CAPELA ;SOBRADINHO ;RUA  PROJETADA, N. S/N, QD C, LT 02 ;25.272,30;61.000,00;58.57;Casa, 0.00 de área total, 69.96 de área privativa, 84.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403732604
8,4444E+12;SE ;CAPELA ;CENTRO ;RUA PROJETADA D, N. 20, QD A, LT 10 ;24.858,00;60.000,00;58.57;Casa, 0.00 de área total, 67.35 de área privativa, 70.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404446931
8,4444E+12;SE ;CAPELA ;BAIRRO SÃO JOSÉ ;RUA ESTRADA DO SOBRADO, N. 599 ;21.847,89;51.190,00;57.33;Casa, 0.00 de área total, 69.90 de área privativa, 298.81 de área do terreno,  2 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403231117
8,4444E+12;SE ;CAPELA ;CENTRO ;R PRINCIPAL, N. 008, BAIRRO: SOBRADINHO QD B Lt 8 ;20.460,60;47.939,55;57.32;Casa, 58.65 de área total, 58.65 de área privativa, 84.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401687482
8,4444E+12;SE ;CAPELA ;CENTRO ;R  CRUZ DA BRAUNA, N. 00524 ;21.340,00;50.000,00;57.32;Casa, 33.64 de área total, 33.64 de área privativa, 39.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404422447
8,55551E+12;SE ;CAPELA ;CENTRO ;RUA NOSSA SENHORA DA PAZ, N. 1065 ;23.474,00;55.000,00;57.32;Casa, 0.00 de área total, 48.00 de área privativa, 150.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555511436702
8,4444E+12;SE ;CAPELA ;CAPELA ;RUA PRINCIPAL, N. 03, LT 03, QD B ;26.826,75;54.782,02;51.04;Casa, 0.00 de área total, 58.65 de área privativa, 84.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402209002
8,4444E+12;SE ;CAPELA ;CENTRO ;RUA PROJETADA B, N. 05, QD E, LT 01 ;29.382,00;60.000,00;51.03;Casa, 0.00 de área total, 69.90 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401481965
8,4444E+12;SE ;CAPELA ;SAO JOSE ;RUA FREI DAMIAO, LT 04 QD A ;36.237,80;74.000,00;51.03;Casa, 0.00 de área total, 69.94 de área privativa, 195.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403137498
8,44441E+12;SE ;CAPELA ;CENTRO ;RUA PROJETADA A, N. 230, ANTIGA QD.A, LT.40 ;14.999,60;28.000,00;46.43;Casa, 0.00 de área total, 69.82 de área privativa, 92.48 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409592294
8,44441E+12;SE ;CAPELA ;SOBRADINHO ;RUA PROJETADA B, N. 26, LT 08 ;66.504,00;120.000,00;44.58;Casa, 0.00 de área total, 69.60 de área privativa, 114.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408901870
8,44441E+12;SE ;CAPELA ;SOBRADINHO ;RUA PROJETADA B, N. 20 ;57.803,39;102.000,00;43.34;Casa, 0.00 de área total, 69.60 de área privativa, 114.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409295141
8,44441E+12;SE ;CAPELA ;SOBRADINHO ;RUA PROJETADA C, N. 03, LT 01, QD C ;38.535,59;68.000,00;43.34;Casa, 0.00 de área total, 69.60 de área privativa, 85.20 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410451623
8,44441E+12;SE ;CAPELA ;CAPELA ;RUA PROJETADA A, N. 81, QDB, LT11 ;51.002,99;90.000,00;43.34;Casa, 0.00 de área total, 69.90 de área privativa, 78.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413478042
8,44441E+12;SE ;CAPELA ;SOBRADINHO ;RUA PROJETADA F, N. 337, LOTE 02 ;55.536,60;98.000,00;43.33;Casa, 0.00 de área total, 74.61 de área privativa, 108.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405151536
8,44441E+12;SE ;CAPELA ;CENTRO ;RUA PROJETADA A, N. 52, QD A, LT 43 ;70.837,50;125.000,00;43.33;Casa, 0.00 de área total, 77.94 de área privativa, 108.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409692035
8,4444E+12;SE ;CAPELA ;CENTRO ;RUA NOSSA SENHORA DA CONCEIÇÃO, N. 1431 ;65.601,27;75.000,00;12.54;Casa, 0.00 de área total, 60.00 de área privativa, 151.70 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401484271
8,4444E+12;SE ;CAPELA ;SOBRADINHO ;RUA PROJETADA, N. SN, QD B, LT 13 ;85.563,25;80.000,00;0.00;Casa, 0.00 de área total, 58.65 de área privativa, 84.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402370237
8,44441E+12;SE ;CAPELA ;CENTRO ;RUA PROJETADA B, N. 21, LT 52, QD C, LOT MARAJA ;121.964,69;83.000,00;0.00;Casa, 0.00 de área total, 69.76 de área privativa, 92.40 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405228610
8,44441E+12;SE ;ESTANCIA ;ALECRIM ;RUA C, N. 79 ;81.000,00;135.000,00;40.00;Casa, 69.45 de área total, 69.45 de área privativa, 229.97 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414448619
1,44441E+12;SE ;ESTANCIA ;Bonfim ;AVENIDA MANOEL BOMFIM, N. 1015 ;53.617,99;83.000,00;35.41;Casa, 0.00 de área total, 69.95 de área privativa, 260.78 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408116857
1,4444E+12;SE ;ESTANCIA ;ALAGOAS ;AVENIDA JOAO LIMA DA SILVEIRA, N. 3251, BR 101 ;460.275,00;712.500,00;35.40;Loja, 0.00 de área total, 320.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404687086
8,78771E+12;SE ;ESTANCIA ;Bonfim ;RUA A, N. 222, QUADRA 04, LOTE 59 ;69.882,24;80.000,00;12.65;Casa, 53.37 de área total, 53.37 de área privativa, 149.78 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705407938
8,55553E+12;SE ;ESTANCIA ;Bonfim ;RUA 16 (ATUAL R NENILDON MARTINS DOS SANTOS), Nº 129, LT 16Q, QD Q ;67.231,80;76.000,00;11.54;Casa, 0.00 de área total, 50.04 de área privativa, 164.49 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555532038773
8,44442E+12;SE ;ESTANCIA ;ALECRIM ;RUA PROJETADA G, N. 119, QD H, LT 32 ;122.000,00;122.000,00;0.00;Casa, 0.00 de área total, 55.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421976455
8,55553E+12;SE ;FREI PAULO ;CENTRO ;QD 01 LT 09, AVENIDA A ;1.640,80;28.000,00;94.14;Casa, 0.00 de área total, 70.00 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534325834
8,44441E+12;SE ;ITABAIANA ;MARCELA ;RUA PROJETADA J-3, N. 35, QD E, LT 27B18 ;55.420,00;100.000,00;44.58;Casa, 0.00 de área total, 94.17 de área privativa, 126.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411453123
8,44442E+12;SE ;ITABAIANA ;MARCELA ;RUA JOSE TELES DE MENDONÇA, N. 134, LOTE 06 QUADRA E1 ;66.504,00;120.000,00;44.58;Casa, 79.68 de área total, 79.68 de área privativa, 126.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423542770
1,4444E+12;SE ;ITABAIANA ;CENTRO ;RUA BATISTA ITAJAI, N. 160A ;150.000,00;150.000,00;0.00;Casa, 0.00 de área total, 69.30 de área privativa, 105.81 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404289978
8,44443E+12;SE ;ITABAIANA ;MARCELA ;RUA PROJETADA M1, N. 857, QD W1, LT 07 ;140.000,00;140.000,00;0.00;Casa, 114.47 de área total, 114.47 de área privativa, 147.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425488390
1,4444E+12;SE ;ITABAIANINHA ;CENTRO ;RUA ODORICO ALVES DOS SANTOS, N. 244 ;64.054,00;126.563,93;49.40;Casa, 0.00 de área total, 102.30 de área privativa, 78.00 de área do terreno,  4 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402191156
1,4444E+12;SE ;ITABAIANINHA ;CENTRO ;RUA JOSE PRIMO, N. 20, QD 02, LT 21 ;113.353,00;154.000,00;26.40;Casa, 80.00 de área total, 80.00 de área privativa, 115.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402343410
8,55553E+12;SE ;ITABAIANINHA ;Caraíbas ;RODOVIA TOMAR DO GERU, N. S/N, QUADRA 2, CASA 22 ;74.975,49;70.000,00;0.00;Casa, 49.47 de área total, 48.70 de área privativa, 127.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531993801
10154689;SE ;ITAPORANGA D'AJUDA ;CAUEIRA ;TRAVESSA AIRTON SENNA, N. 32 ;77.218,56;128.697,61;40.01;Casa, 0.00 de área total, 140.00 de área privativa, 79.33 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10154689
1,4444E+12;SE ;ITAPORANGA D'AJUDA ;POVOADO CAUEIRA ;LOTEAMENTO JARDIM VILA DO MAR, QD P ;206.720,00;320.000,00;35.40;Terreno, 0.00 de área total, 0.00 de área privativa, 750.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402452235
1,4444E+12;SE ;ITAPORANGA D'AJUDA ;CAUEIRA ;QUADRA P LOTE 27 ;118.047,99;160.000,00;26.23;Casa, 0.00 de área total, 191.18 de área privativa, 375.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402285096
1,55553E+12;SE ;JAPARATUBA ;CENTRO ;RUA LUIZ RABELO LEITE, N. 1, LT 11/12 ;190.991,63;380.000,00;49.74;Casa, 0.00 de área total, 141.89 de área privativa, 430.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555533531912
1,55553E+12;SE ;NOSSA SENHORA DA GLORIA ;DIVINEIA ;RUA MANOEL BEZERRA LEMOS, QD 04, CS 08 ;120.000,00;120.000,00;0.00;Casa, 0.00 de área total, 88.34 de área privativa, 272.64 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555526131181
8,44441E+12;SE ;NOSSA SENHORA DA GLORIA ;JOVIANO BARBOSA ;RUA B, N. 263, QD 16, LT 35 ;119.074,41;119.074,41;0.00;Casa, 0.00 de área total, 82.01 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413916368
8,44442E+12;SE ;NOSSA SENHORA DA GLORIA ;ANTONIO FRANCISCO DE ;RUA JOSÉ BATISTA SOBRINHO, N. 88, QD D, LT 17 ;114.500,00;114.500,00;0.00;Casa, 0.00 de área total, 105.00 de área privativa, 133.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415758948
8,44442E+12;SE ;NOSSA SENHORA DA GLORIA ;JARDIM DO SERTÃO ;RUA JOAO BERNARDINO MACEDO, N. 612, LT 03, ;68.000,00;68.000,00;0.00;Casa, 0.00 de área total, 55.36 de área privativa, 125.37 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417786051
8,44442E+12;SE ;NOSSA SENHORA DA GLORIA ;NOVA BRASILIA ;RUA A (ATUAL RUA ASA BRANCA), N. 60, QD B, LT 10 ;107.334,59;107.334,59;0.00;Casa, 89.27 de área total, 89.27 de área privativa, 126.02 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420345192
8,44442E+12;SE ;NOSSA SENHORA DA GLORIA ;JOVIANO BARBOSA ;RUA A, N. 69, LT 12, QD 1 ;113.000,00;113.000,00;0.00;Casa, 98.78 de área total, 98.78 de área privativa, 126.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423737083
8,4444E+12;SE ;NOSSA SENHORA DA GLORIA ;JARDIM DO SERTÃO ;RUA ADRIANO MELO SANTANA, N. 315 ;96.904,80;95.000,00;0.00;Casa, 81.53 de área total, 81.53 de área privativa, 132.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403647895
8,44441E+12;SE ;NOSSA SENHORA DA GLORIA ;JOVIANO BARBOSA ;RUA JOSÉ LIMA DA SILVA, N. 81, QD 02, LT 03 ;66.365,29;65.000,00;0.00;Casa, 39.75 de área total, 39.75 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411642520
1,55552E+12;SE ;NOSSA SENHORA DA GLORIA ;CENTRO ;RUA 15 DE AGOSTO, N. 799, QD 01, LT 16 ;129.927,55;120.000,00;0.00;Casa, 120.90 de área total, 120.90 de área privativa, 130.13 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555519239347
8,7877E+12;SE ;NOSSA SENHORA DA GLORIA ;ANTONIO F DE SOUZA ;RUA H, N. 58, QD 04, LT 23 ;102.051,20;90.000,00;0.00;Casa, 0.00 de área total, 48.44 de área privativa, 136.86 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703091020
1,44441E+12;SE ;NOSSA SENHORA DA GLORIA ;ANT FRANCISCO SOUZA ;RUA PROJETADA C, N. 69, QD 05, LOT BELA VISTA ;159.436,36;135.000,00;0.00;Casa, 0.00 de área total, 92.00 de área privativa, 154.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408790434
8,78771E+12;SE ;NOSSA SENHORA DA GLORIA ;ANTONIO FRANCISCO DE ;RUA H, N. 74, QD 04, LT 21 ;102.030,01;85.000,00;0.00;Casa, 52.51 de área total, 52.51 de área privativa, 156.80 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710259798
8,44442E+12;SE ;NOSSA SENHORA DO SOCORRO ;Lot Rosa de Maio ;RUA 10 DE JANEIRO, N. 18, LT 18-D3, QD 6 ;40.791,97;98.459,99;58.58;Casa, 0.00 de área total, 65.98 de área privativa, 124.48 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416097384
8,44442E+12;SE ;NOSSA SENHORA DO SOCORRO ;COMPLEXO JARDIM ;ESTRADA ANTIGA PARA QUISSAMA AREA 03, N. 26, LT JD GUAJARA, QD S ;39.772,80;96.000,00;58.57;Casa, 0.00 de área total, 68.50 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417111550
8,44441E+12;SE ;NOSSA SENHORA DO SOCORRO ;CENTRO HISTORICO ;RUA 6 DE ABRIL, N. SN, LT 9-A, QD 77 ;39.265,60;92.000,00;57.32;Casa, 0.00 de área total, 65.84 de área privativa, 135.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406635502
8,44441E+12;SE ;NOSSA SENHORA DO SOCORRO ;CENTRO HISTORICO ;Travessa C - Conj Jardim II, N. 68, Travessa C ;59.325,20;139.000,00;57.32;Casa, 0.00 de área total, 192.00 de área privativa, 0.00 de área do terreno,  5 qto(s), varanda, WC, 4 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408089947
8,44442E+12;SE ;NOSSA SENHORA DO SOCORRO ;COMPLEXO JARDIM ;RUA M, N. 132, QD20, LT36A ;58.191,00;105.000,00;44.58;Casa, 0.00 de área total, 67.50 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421988755
